right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.483;9.842;-0.113;-1.818;9.436;-0.063;0.033;5.495;-0.611;0.194;8.443;-0.813;0.194;8.443;-0.813;0.036;10.022;-0.414;0.0;4.805;0.0;0.033;5.495;-0.611;0.0;4.805;0.0;-1.156;4.522;0.131;-2.773;5.23;3.837;-3.001;1.146;2.737;-1.156;4.522;0.131;-2.773;5.23;3.837;3.104;7.582;1.612;2.053;7.665;3.841;1.129;4.443;0.164;3.548;4.884;3.452;-1.818;9.436;-0.063;-2.61;7.82;2.058;0.036;10.022;-0.414;0.138;10.842;0.542;-2.61;7.82;2.058;-1.429;7.946;4.135;0.0;4.805;0.0;1.129;4.443;0.164;1.765;9.496;-0.113;3.104;7.582;1.612;0.436;9.892;0.051;1.765;9.496;-0.113;3.548;4.884;3.452;2.705;0.995;1.751
-0.49;9.844;-0.095;-1.824;9.435;-0.058;0.037;5.496;-0.61;0.181;8.445;-0.802;0.181;8.445;-0.802;0.029;10.023;-0.397;0.004;4.806;0.001;0.037;5.496;-0.61;0.004;4.806;0.001;-1.151;4.521;0.13;-2.775;5.231;3.833;-3.001;1.145;2.737;-1.151;4.521;0.13;-2.775;5.231;3.833;3.139;7.449;1.417;2.345;7.617;3.746;1.133;4.446;0.167;3.558;4.882;3.451;-1.824;9.435;-0.058;-2.64;7.798;2.038;0.029;10.023;-0.397;0.141;10.841;0.56;-2.64;7.798;2.038;-1.476;7.94;4.124;0.004;4.806;0.001;1.133;4.446;0.167;1.743;9.465;-0.139;3.139;7.449;1.417;0.429;9.891;0.066;1.743;9.465;-0.139;3.558;4.882;3.451;2.708;0.994;1.751
-0.496;9.843;-0.071;-1.831;9.436;-0.051;0.033;5.493;-0.608;0.158;8.444;-0.792;0.158;8.444;-0.792;0.02;10.021;-0.378;0.002;4.803;0.003;0.033;5.493;-0.608;0.002;4.803;0.003;-1.153;4.514;0.13;-2.782;5.23;3.829;-3.0;1.143;2.738;-1.153;4.514;0.13;-2.782;5.23;3.829;3.188;7.307;1.148;2.808;7.57;3.57;1.132;4.446;0.17;3.565;4.881;3.448;-1.831;9.436;-0.051;-2.692;7.773;2.007;0.02;10.021;-0.378;0.161;10.834;0.578;-2.692;7.773;2.007;-1.554;7.929;4.106;0.002;4.803;0.003;1.132;4.446;0.17;1.713;9.418;-0.194;3.188;7.307;1.148;0.425;9.885;0.079;1.713;9.418;-0.194;3.565;4.881;3.448;2.71;0.993;1.751
-0.504;9.842;-0.041;-1.841;9.438;-0.037;0.023;5.491;-0.61;0.126;8.444;-0.784;0.126;8.444;-0.784;0.005;10.019;-0.359;-0.006;4.801;0.001;0.023;5.491;-0.61;-0.006;4.801;0.001;-1.16;4.509;0.128;-2.794;5.23;3.824;-3.002;1.141;2.739;-1.16;4.509;0.128;-2.794;5.23;3.824;3.24;7.204;0.862;3.355;7.528;3.304;1.126;4.448;0.168;3.567;4.883;3.439;-1.841;9.438;-0.037;-2.753;7.748;1.976;0.005;10.019;-0.359;0.199;10.824;0.595;-2.753;7.748;1.976;-1.639;7.915;4.088;-0.006;4.801;0.001;1.126;4.448;0.168;1.676;9.378;-0.261;3.24;7.204;0.862;0.42;9.879;0.088;1.676;9.378;-0.261;3.567;4.883;3.439;2.711;0.991;1.752
-0.51;9.852;0.002;-1.848;9.454;-0.001;0.003;5.502;-0.614;0.093;8.456;-0.768;0.093;8.456;-0.768;-0.008;10.028;-0.328;-0.022;4.81;-0.005;0.003;5.502;-0.614;-0.022;4.81;-0.005;-1.174;4.513;0.125;-2.808;5.232;3.822;-3.002;1.141;2.739;-1.174;4.513;0.125;-2.808;5.232;3.822;3.299;7.168;0.644;3.895;7.489;3.016;1.111;4.461;0.159;3.561;4.891;3.425;-1.848;9.454;-0.001;-2.809;7.737;1.965;-0.008;10.028;-0.328;0.25;10.821;0.621;-2.809;7.737;1.965;-1.704;7.905;4.081;-0.022;4.81;-0.005;1.111;4.461;0.159;1.648;9.361;-0.302;3.299;7.168;0.644;0.418;9.882;0.107;1.648;9.361;-0.302;3.561;4.891;3.425;2.712;0.993;1.748
-0.495;9.849;0.044;-1.837;9.463;0.044;-0.006;5.499;-0.618;0.082;8.454;-0.748;0.082;8.454;-0.748;-0.0;10.025;-0.297;-0.03;4.806;-0.01;-0.006;5.499;-0.618;-0.03;4.806;-0.01;-1.182;4.512;0.124;-2.808;5.23;3.825;-3.004;1.141;2.739;-1.182;4.512;0.124;-2.808;5.23;3.825;3.402;7.189;0.531;4.38;7.466;2.777;1.103;4.454;0.147;3.567;4.89;3.402;-1.837;9.463;0.044;-2.834;7.732;1.98;-0.0;10.025;-0.297;0.316;10.808;0.643;-2.834;7.732;1.98;-1.717;7.899;4.09;-0.03;4.806;-0.01;1.103;4.454;0.147;1.652;9.347;-0.312;3.402;7.189;0.531;0.436;9.874;0.126;1.652;9.347;-0.312;3.567;4.89;3.402;2.712;0.985;1.743
-0.463;9.85;0.079;-1.809;9.476;0.087;-0.014;5.501;-0.623;0.088;8.456;-0.733;0.088;8.456;-0.733;0.026;10.025;-0.271;-0.037;4.806;-0.017;-0.014;5.501;-0.623;-0.037;4.806;-0.017;-1.189;4.515;0.123;-2.805;5.23;3.829;-3.005;1.143;2.738;-1.189;4.515;0.123;-2.805;5.23;3.829;3.558;7.28;0.505;4.811;7.502;2.618;1.096;4.449;0.133;3.575;4.893;3.374;-1.809;9.476;0.087;-2.837;7.737;1.999;0.026;10.025;-0.271;0.386;10.799;0.66;-2.837;7.737;1.999;-1.7;7.895;4.099;-0.037;4.806;-0.017;1.096;4.449;0.133;1.686;9.348;-0.301;3.558;7.28;0.505;0.469;9.869;0.143;1.686;9.348;-0.301;3.575;4.893;3.374;2.712;0.982;1.737
-0.419;9.847;0.104;-1.767;9.484;0.116;-0.013;5.498;-0.624;0.116;8.452;-0.718;0.116;8.452;-0.718;0.068;10.019;-0.25;-0.036;4.802;-0.018;-0.013;5.498;-0.624;-0.036;4.802;-0.018;-1.189;4.516;0.127;-2.797;5.229;3.836;-3.004;1.143;2.74;-1.189;4.516;0.127;-2.797;5.229;3.836;3.741;7.412;0.555;5.171;7.556;2.558;1.096;4.44;0.125;3.591;4.894;3.353;-1.767;9.484;0.116;-2.831;7.744;2.008;0.068;10.019;-0.25;0.452;10.789;0.676;-2.831;7.744;2.008;-1.691;7.893;4.106;-0.036;4.802;-0.018;1.096;4.44;0.125;1.746;9.357;-0.264;3.741;7.412;0.555;0.514;9.859;0.159;1.746;9.357;-0.264;3.591;4.894;3.353;2.711;0.979;1.733
-0.359;9.841;0.123;-1.71;9.489;0.129;0.003;5.493;-0.618;0.166;8.446;-0.704;0.166;8.446;-0.704;0.129;10.012;-0.23;-0.023;4.797;-0.013;0.003;5.493;-0.618;-0.023;4.797;-0.013;-1.177;4.517;0.134;-2.782;5.227;3.845;-3.002;1.144;2.741;-1.177;4.517;0.134;-2.782;5.227;3.845;3.942;7.566;0.627;5.505;7.612;2.534;1.108;4.429;0.128;3.614;4.889;3.346;-1.71;9.489;0.129;-2.821;7.754;1.998;0.129;10.012;-0.23;0.518;10.78;0.695;-2.821;7.754;1.998;-1.696;7.892;4.106;-0.023;4.797;-0.013;1.108;4.429;0.128;1.827;9.371;-0.211;3.942;7.566;0.627;0.573;9.846;0.179;1.827;9.371;-0.211;3.614;4.889;3.346;2.712;0.976;1.733
-0.302;9.839;0.13;-1.655;9.493;0.126;0.025;5.491;-0.609;0.22;8.442;-0.696;0.22;8.442;-0.696;0.19;10.007;-0.218;-0.004;4.795;-0.005;0.025;5.491;-0.609;-0.004;4.795;-0.005;-1.16;4.521;0.143;-2.765;5.226;3.855;-2.999;1.146;2.743;-1.16;4.521;0.143;-2.765;5.226;3.855;4.105;7.712;0.725;5.743;7.675;2.567;1.124;4.42;0.136;3.635;4.882;3.351;-1.655;9.493;0.126;-2.805;7.765;1.978;0.19;10.007;-0.218;0.57;10.777;0.709;-2.805;7.765;1.978;-1.7;7.892;4.098;-0.004;4.795;-0.005;1.124;4.42;0.136;1.905;9.389;-0.158;4.105;7.712;0.725;0.63;9.838;0.194;1.905;9.389;-0.158;3.635;4.882;3.351;2.713;0.975;1.735
