right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.26;9.908;0.112;-1.599;9.534;-0.023;0.066;5.55;-0.567;0.358;8.495;-0.613;0.358;8.495;-0.613;0.278;10.066;-0.165;0.0;4.827;0.0;0.066;5.55;-0.567;0.0;4.827;0.0;-1.167;4.579;0.099;-2.897;5.269;3.758;-2.67;1.079;3.176;-1.167;4.579;0.099;-2.897;5.269;3.758;3.184;7.332;1.796;1.921;7.689;3.884;1.113;4.414;0.155;3.564;5.008;3.394;-1.599;9.534;-0.023;-2.567;7.661;1.791;0.278;10.066;-0.165;0.332;10.844;0.829;-2.567;7.661;1.791;-1.523;7.893;3.932;0.0;4.827;0.0;1.113;4.414;0.155;1.96;9.42;0.19;3.184;7.332;1.796;0.653;9.899;0.307;1.96;9.42;0.19;3.564;5.008;3.394;2.607;0.855;2.644
-0.274;9.912;0.112;-1.612;9.538;-0.027;0.053;5.552;-0.572;0.34;8.497;-0.614;0.34;8.497;-0.614;0.266;10.069;-0.164;-0.01;4.829;-0.004;0.053;5.552;-0.572;-0.01;4.829;-0.004;-1.176;4.572;0.089;-2.914;5.265;3.743;-2.669;1.075;3.175;-1.176;4.572;0.089;-2.914;5.265;3.743;3.198;7.256;1.667;2.113;7.696;3.837;1.105;4.425;0.157;3.545;5.016;3.405;-1.612;9.538;-0.027;-2.572;7.662;1.789;0.266;10.069;-0.164;0.323;10.849;0.829;-2.572;7.662;1.789;-1.525;7.894;3.928;-0.01;4.829;-0.004;1.105;4.425;0.157;1.936;9.401;0.17;3.198;7.256;1.667;0.639;9.899;0.31;1.936;9.401;0.17;3.545;5.016;3.405;2.607;0.861;2.642
-0.284;9.914;0.117;-1.622;9.541;-0.027;0.052;5.552;-0.573;0.326;8.498;-0.61;0.326;8.498;-0.61;0.256;10.069;-0.159;-0.012;4.828;-0.006;0.052;5.552;-0.573;-0.012;4.828;-0.006;-1.177;4.567;0.083;-2.925;5.266;3.731;-2.669;1.075;3.173;-1.177;4.567;0.083;-2.925;5.266;3.731;3.228;7.172;1.491;2.417;7.705;3.758;1.104;4.427;0.16;3.533;5.018;3.416;-1.622;9.541;-0.027;-2.577;7.661;1.788;0.256;10.069;-0.159;0.317;10.851;0.832;-2.577;7.661;1.788;-1.526;7.894;3.925;-0.012;4.828;-0.006;1.104;4.427;0.16;1.912;9.377;0.134;3.228;7.172;1.491;0.629;9.898;0.314;1.912;9.377;0.134;3.533;5.018;3.416;2.606;0.862;2.643
-0.299;9.906;0.127;-1.637;9.535;-0.018;0.052;5.54;-0.571;0.306;8.489;-0.602;0.306;8.489;-0.602;0.24;10.06;-0.152;-0.014;4.815;-0.005;0.052;5.54;-0.571;-0.014;4.815;-0.005;-1.179;4.556;0.08;-2.933;5.263;3.724;-2.673;1.072;3.174;-1.179;4.556;0.08;-2.933;5.263;3.724;3.269;7.102;1.298;2.817;7.696;3.649;1.101;4.413;0.162;3.522;5.015;3.423;-1.637;9.535;-0.018;-2.591;7.655;1.797;0.24;10.06;-0.152;0.314;10.843;0.837;-2.591;7.655;1.797;-1.529;7.896;3.928;-0.014;4.815;-0.005;1.101;4.413;0.162;1.883;9.35;0.091;3.269;7.102;1.298;0.615;9.889;0.319;1.883;9.35;0.091;3.522;5.015;3.423;2.605;0.858;2.645
-0.32;9.902;0.145;-1.658;9.53;0.001;0.048;5.536;-0.572;0.281;8.486;-0.591;0.281;8.486;-0.591;0.215;10.058;-0.141;-0.017;4.81;-0.008;0.048;5.536;-0.572;-0.017;4.81;-0.008;-1.183;4.549;0.076;-2.946;5.262;3.714;-2.673;1.07;3.172;-1.183;4.549;0.076;-2.946;5.262;3.714;3.321;7.078;1.127;3.275;7.68;3.517;1.098;4.408;0.159;3.505;5.018;3.427;-1.658;9.53;0.001;-2.609;7.644;1.811;0.215;10.058;-0.141;0.315;10.839;0.847;-2.609;7.644;1.811;-1.533;7.896;3.934;-0.017;4.81;-0.008;1.098;4.408;0.159;1.851;9.34;0.051;3.321;7.078;1.127;0.597;9.889;0.325;1.851;9.34;0.051;3.505;5.018;3.427;2.605;0.858;2.645
-0.344;9.904;0.167;-1.681;9.526;0.028;0.042;5.542;-0.561;0.254;8.493;-0.58;0.254;8.493;-0.58;0.184;10.065;-0.128;-0.022;4.814;0.002;0.042;5.542;-0.561;-0.022;4.814;0.002;-1.187;4.552;0.087;-2.961;5.261;3.72;-2.675;1.071;3.173;-1.187;4.552;0.087;-2.961;5.261;3.72;3.389;7.107;0.997;3.752;7.668;3.37;1.094;4.413;0.165;3.493;5.021;3.44;-1.681;9.526;0.028;-2.627;7.627;1.828;0.184;10.065;-0.128;0.322;10.843;0.857;-2.627;7.627;1.828;-1.536;7.892;3.941;-0.022;4.814;0.002;1.094;4.413;0.165;1.822;9.35;0.023;3.389;7.107;0.997;0.576;9.898;0.331;1.822;9.35;0.023;3.493;5.021;3.44;2.604;0.861;2.647
-0.366;9.9;0.19;-1.702;9.516;0.059;0.036;5.543;-0.554;0.232;8.496;-0.569;0.232;8.496;-0.569;0.155;10.066;-0.115;-0.025;4.814;0.006;0.036;5.543;-0.554;-0.025;4.814;0.006;-1.189;4.551;0.095;-2.97;5.26;3.725;-2.674;1.071;3.173;-1.189;4.551;0.095;-2.97;5.26;3.725;3.483;7.178;0.908;4.215;7.65;3.215;1.092;4.413;0.165;3.485;5.023;3.444;-1.702;9.516;0.059;-2.646;7.604;1.847;0.155;10.066;-0.115;0.334;10.841;0.866;-2.646;7.604;1.847;-1.539;7.886;3.95;-0.025;4.814;0.006;1.092;4.413;0.165;1.804;9.368;0.006;3.483;7.178;0.908;0.557;9.903;0.336;1.804;9.368;0.006;3.485;5.023;3.444;2.603;0.863;2.648
-0.38;9.895;0.209;-1.715;9.504;0.087;0.033;5.545;-0.551;0.218;8.498;-0.564;0.218;8.498;-0.564;0.134;10.067;-0.105;-0.026;4.815;0.009;0.033;5.545;-0.551;-0.026;4.815;0.009;-1.19;4.553;0.105;-2.97;5.259;3.736;-2.674;1.071;3.174;-1.19;4.553;0.105;-2.97;5.259;3.736;3.602;7.286;0.852;4.63;7.645;3.064;1.091;4.413;0.162;3.485;5.025;3.44;-1.715;9.504;0.087;-2.662;7.582;1.861;0.134;10.067;-0.105;0.349;10.838;0.872;-2.662;7.582;1.861;-1.542;7.878;3.955;-0.026;4.815;0.009;1.091;4.413;0.162;1.799;9.396;-0.002;3.602;7.286;0.852;0.545;9.907;0.339;1.799;9.396;-0.002;3.485;5.025;3.44;2.603;0.864;2.646
-0.387;9.896;0.22;-1.72;9.495;0.108;0.039;5.554;-0.545;0.216;8.507;-0.564;0.216;8.507;-0.564;0.121;10.074;-0.1;-0.018;4.823;0.015;0.039;5.554;-0.545;-0.018;4.823;0.015;-1.183;4.566;0.119;-2.951;5.264;3.757;-2.673;1.077;3.177;-1.183;4.566;0.119;-2.951;5.264;3.757;3.733;7.434;0.83;4.97;7.679;2.949;1.098;4.418;0.159;3.5;5.024;3.433;-1.72;9.495;0.108;-2.669;7.563;1.87;0.121;10.074;-0.1;0.362;10.841;0.873;-2.669;7.563;1.87;-1.541;7.873;3.957;-0.018;4.823;0.015;1.098;4.418;0.159;1.808;9.442;-0.003;3.733;7.434;0.83;0.54;9.917;0.338;1.808;9.442;-0.003;3.5;5.024;3.433;2.603;0.864;2.646
-0.389;9.881;0.225;-1.721;9.476;0.123;0.032;5.545;-0.549;0.215;8.499;-0.569;0.215;8.499;-0.569;0.114;10.063;-0.101;-0.021;4.815;0.011;0.032;5.545;-0.549;-0.021;4.815;0.011;-1.185;4.555;0.119;-2.935;5.259;3.765;-2.672;1.073;3.177;-1.185;4.555;0.119;-2.935;5.259;3.765;3.861;7.578;0.826;5.254;7.712;2.857;1.097;4.411;0.15;3.503;5.024;3.419;-1.721;9.476;0.123;-2.682;7.542;1.877;0.114;10.063;-0.101;0.373;10.83;0.87;-2.682;7.542;1.877;-1.547;7.868;3.959;-0.021;4.815;0.011;1.097;4.411;0.15;1.822;9.472;-0.002;3.861;7.578;0.826;0.539;9.909;0.332;1.822;9.472;-0.002;3.503;5.024;3.419;2.606;0.863;2.643
