right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.466;9.843;-0.122;-1.823;9.522;-0.064;0.052;5.48;-0.626;0.157;8.429;-0.845;0.157;8.429;-0.845;0.045;10.011;-0.442;0.0;4.805;0.0;0.052;5.48;-0.626;0.0;4.805;0.0;-1.162;4.548;0.126;-2.868;5.189;3.804;-3.132;1.14;2.589;-1.162;4.548;0.126;-2.868;5.189;3.804;2.927;7.435;1.59;1.866;7.76;3.792;1.12;4.425;0.183;3.5;4.858;3.5;-1.823;9.522;-0.064;-2.99;7.974;1.931;0.045;10.011;-0.442;0.207;10.851;0.488;-2.99;7.974;1.931;-1.798;7.77;3.996;0.0;4.805;0.0;1.12;4.425;0.183;1.745;9.377;-0.216;2.927;7.435;1.59;0.459;9.875;0.007;1.745;9.377;-0.216;3.5;4.858;3.5;2.607;0.953;1.862
-0.46;9.833;-0.119;-1.819;9.517;-0.072;0.035;5.47;-0.63;0.157;8.419;-0.844;0.157;8.419;-0.844;0.052;10.001;-0.439;-0.014;4.794;-0.005;0.035;5.47;-0.63;-0.014;4.794;-0.005;-1.174;4.529;0.12;-2.875;5.185;3.798;-3.132;1.133;2.59;-1.174;4.529;0.12;-2.875;5.185;3.798;2.935;7.426;1.597;1.87;7.76;3.796;1.109;4.42;0.178;3.485;4.862;3.496;-1.819;9.517;-0.072;-3.035;7.945;1.875;0.052;10.001;-0.439;0.216;10.842;0.49;-3.035;7.945;1.875;-1.897;7.751;3.971;-0.014;4.794;-0.005;1.109;4.42;0.178;1.75;9.365;-0.211;2.935;7.426;1.597;0.464;9.862;0.011;1.75;9.365;-0.211;3.485;4.862;3.496;2.608;0.953;1.861
-0.459;9.827;-0.11;-1.814;9.493;-0.094;0.03;5.47;-0.636;0.166;8.419;-0.84;0.166;8.419;-0.84;0.053;9.998;-0.427;-0.018;4.793;-0.012;0.03;5.47;-0.636;-0.018;4.793;-0.012;-1.178;4.527;0.112;-2.877;5.187;3.791;-3.134;1.134;2.588;-1.178;4.527;0.112;-2.877;5.187;3.791;2.946;7.425;1.599;1.874;7.759;3.795;1.105;4.42;0.17;3.475;4.866;3.492;-1.814;9.493;-0.094;-3.114;7.877;1.76;0.053;9.998;-0.427;0.219;10.838;0.502;-3.114;7.877;1.76;-2.114;7.733;3.929;-0.018;4.793;-0.012;1.105;4.42;0.17;1.753;9.367;-0.201;2.946;7.425;1.599;0.465;9.859;0.023;1.753;9.367;-0.201;3.475;4.866;3.492;2.607;0.953;1.86
-0.464;9.817;-0.098;-1.81;9.447;-0.137;0.029;5.469;-0.644;0.176;8.419;-0.833;0.176;8.419;-0.833;0.048;9.995;-0.411;-0.02;4.793;-0.019;0.029;5.469;-0.644;-0.02;4.793;-0.019;-1.181;4.53;0.106;-2.88;5.187;3.785;-3.138;1.132;2.588;-1.181;4.53;0.106;-2.88;5.187;3.785;2.955;7.425;1.598;1.88;7.759;3.792;1.102;4.417;0.162;3.466;4.868;3.488;-1.81;9.447;-0.137;-3.224;7.788;1.591;0.048;9.995;-0.411;0.216;10.831;0.52;-3.224;7.788;1.591;-2.471;7.74;3.863;-0.02;4.793;-0.019;1.102;4.417;0.162;1.748;9.371;-0.189;2.955;7.425;1.598;0.459;9.855;0.04;1.748;9.371;-0.189;3.466;4.868;3.488;2.605;0.953;1.859
-0.471;9.815;-0.083;-1.8;9.398;-0.188;0.048;5.479;-0.648;0.196;8.429;-0.819;0.196;8.429;-0.819;0.043;10.0;-0.389;-0.006;4.803;-0.023;0.048;5.479;-0.648;-0.006;4.803;-0.023;-1.169;4.548;0.103;-2.875;5.192;3.781;-3.137;1.137;2.586;-1.169;4.548;0.103;-2.875;5.192;3.781;2.964;7.432;1.599;1.884;7.758;3.792;1.113;4.419;0.158;3.47;4.868;3.489;-1.8;9.398;-0.188;-3.339;7.706;1.394;0.043;10.0;-0.389;0.208;10.832;0.547;-3.339;7.706;1.394;-2.949;7.771;3.755;-0.006;4.803;-0.023;1.113;4.419;0.158;1.742;9.388;-0.165;2.964;7.432;1.599;0.45;9.863;0.066;1.742;9.388;-0.165;3.47;4.868;3.489;2.603;0.954;1.86
-0.486;9.81;-0.063;-1.795;9.351;-0.227;0.059;5.482;-0.646;0.205;8.434;-0.796;0.205;8.434;-0.796;0.03;10.002;-0.361;0.002;4.806;-0.021;0.059;5.482;-0.646;0.002;4.806;-0.021;-1.162;4.556;0.103;-2.882;5.192;3.776;-3.137;1.135;2.585;-1.162;4.556;0.103;-2.882;5.192;3.776;2.97;7.435;1.609;1.882;7.757;3.798;1.119;4.419;0.163;3.469;4.865;3.499;-1.795;9.351;-0.227;-3.453;7.656;1.228;0.03;10.002;-0.361;0.192;10.829;0.579;-3.453;7.656;1.228;-3.482;7.817;3.615;0.002;4.806;-0.021;1.119;4.419;0.163;1.728;9.399;-0.133;2.97;7.435;1.609;0.432;9.867;0.099;1.728;9.399;-0.133;3.469;4.865;3.499;2.603;0.955;1.861
-0.506;9.812;-0.047;-1.799;9.325;-0.248;0.07;5.491;-0.638;0.205;8.444;-0.774;0.205;8.444;-0.774;0.012;10.009;-0.338;0.009;4.814;-0.014;0.07;5.491;-0.638;0.009;4.814;-0.014;-1.155;4.565;0.105;-2.895;5.194;3.769;-3.137;1.135;2.584;-1.155;4.565;0.105;-2.895;5.194;3.769;2.971;7.443;1.615;1.877;7.757;3.803;1.126;4.425;0.174;3.469;4.862;3.516;-1.799;9.325;-0.248;-3.562;7.66;1.115;0.012;10.009;-0.338;0.17;10.834;0.605;-3.562;7.66;1.115;-3.995;7.874;3.459;0.009;4.814;-0.014;1.126;4.425;0.174;1.707;9.415;-0.102;2.971;7.443;1.615;0.41;9.877;0.127;1.707;9.415;-0.102;3.469;4.862;3.516;2.603;0.958;1.862
-0.532;9.817;-0.029;-1.819;9.32;-0.244;0.076;5.499;-0.626;0.192;8.453;-0.751;0.192;8.453;-0.751;-0.013;10.017;-0.316;0.013;4.822;-0.003;0.076;5.499;-0.626;0.013;4.822;-0.003;-1.152;4.571;0.109;-2.918;5.197;3.762;-3.139;1.135;2.583;-1.152;4.571;0.109;-2.918;5.197;3.762;2.966;7.451;1.619;1.87;7.757;3.807;1.129;4.433;0.19;3.466;4.859;3.538;-1.819;9.32;-0.244;-3.681;7.722;1.068;-0.013;10.017;-0.316;0.142;10.841;0.629;-3.681;7.722;1.068;-4.463;7.941;3.319;0.013;4.822;-0.003;1.129;4.433;0.19;1.681;9.429;-0.074;2.966;7.451;1.619;0.382;9.887;0.152;1.681;9.429;-0.074;3.466;4.859;3.538;2.604;0.962;1.864
-0.568;9.818;-0.009;-1.859;9.327;-0.214;0.075;5.502;-0.613;0.164;8.457;-0.73;0.164;8.457;-0.73;-0.05;10.021;-0.296;0.011;4.823;0.009;0.075;5.502;-0.613;0.011;4.823;0.009;-1.154;4.569;0.116;-2.949;5.199;3.753;-3.142;1.133;2.582;-1.154;4.569;0.116;-2.949;5.199;3.753;2.958;7.459;1.618;1.865;7.758;3.808;1.127;4.438;0.206;3.458;4.856;3.559;-1.859;9.327;-0.214;-3.812;7.826;1.08;-0.05;10.021;-0.296;0.106;10.846;0.647;-3.812;7.826;1.08;-4.878;8.002;3.216;0.011;4.823;0.009;1.127;4.438;0.206;1.646;9.437;-0.055;2.958;7.459;1.618;0.345;9.892;0.173;1.646;9.437;-0.055;3.458;4.856;3.559;2.603;0.966;1.868
-0.613;9.814;0.01;-1.914;9.341;-0.17;0.068;5.5;-0.604;0.123;8.457;-0.713;0.123;8.457;-0.713;-0.096;10.019;-0.278;0.005;4.821;0.016;0.068;5.5;-0.604;0.005;4.821;0.016;-1.159;4.561;0.119;-2.983;5.2;3.74;-3.145;1.129;2.581;-1.159;4.561;0.119;-2.983;5.2;3.74;2.947;7.47;1.612;1.864;7.76;3.808;1.122;4.44;0.217;3.441;4.856;3.579;-1.914;9.341;-0.17;-3.949;7.957;1.127;-0.096;10.019;-0.278;0.065;10.849;0.661;-3.949;7.957;1.127;-5.234;8.062;3.143;0.005;4.821;0.016;1.122;4.44;0.217;1.602;9.442;-0.043;2.947;7.47;1.612;0.301;9.892;0.189;1.602;9.442;-0.043;3.441;4.856;3.579;2.602;0.97;1.871
-0.664;9.81;0.028;-1.979;9.363;-0.121;0.055;5.499;-0.601;0.072;8.457;-0.702;0.072;8.457;-0.702;-0.151;10.017;-0.264;-0.006;4.818;0.018;0.055;5.499;-0.601;-0.006;4.818;0.018;-1.169;4.552;0.117;-3.016;5.201;3.726;-3.148;1.125;2.58;-1.169;4.552;0.117;-3.016;5.201;3.726;2.929;7.482;1.6;1.861;7.762;3.805;1.113;4.444;0.221;3.417;4.859;3.593;-1.979;9.363;-0.121;-4.078;8.096;1.194;-0.151;10.017;-0.264;0.02;10.851;0.67;-4.078;8.096;1.194;-5.516;8.118;3.106;-0.006;4.818;0.018;1.113;4.444;0.221;1.552;9.445;-0.037;2.929;7.482;1.6;0.25;9.892;0.2;1.552;9.445;-0.037;3.417;4.859;3.593;2.6;0.973;1.873
-0.719;9.807;0.042;-2.047;9.39;-0.074;0.038;5.501;-0.602;0.017;8.459;-0.698;0.017;8.459;-0.698;-0.209;10.017;-0.254;-0.019;4.819;0.015;0.038;5.501;-0.602;-0.019;4.819;0.015;-1.18;4.545;0.112;-3.042;5.202;3.711;-3.151;1.122;2.58;-1.18;4.545;0.112;-3.042;5.202;3.711;2.903;7.494;1.586;1.856;7.762;3.802;1.102;4.451;0.219;3.388;4.865;3.604;-2.047;9.39;-0.074;-4.183;8.222;1.273;-0.209;10.017;-0.254;-0.029;10.855;0.675;-4.183;8.222;1.273;-5.718;8.151;3.107;-0.019;4.819;0.015;1.102;4.451;0.219;1.498;9.45;-0.037;2.903;7.494;1.586;0.196;9.892;0.207;1.498;9.45;-0.037;3.388;4.865;3.604;2.598;0.977;1.875
-0.768;9.806;0.048;-2.106;9.415;-0.035;0.023;5.505;-0.605;-0.031;8.462;-0.699;-0.031;8.462;-0.699;-0.261;10.019;-0.25;-0.03;4.821;0.01;0.023;5.505;-0.605;-0.03;4.821;0.01;-1.189;4.538;0.104;-3.058;5.205;3.698;-3.155;1.12;2.579;-1.189;4.538;0.104;-3.058;5.205;3.698;2.878;7.506;1.568;1.853;7.763;3.796;1.093;4.46;0.215;3.357;4.87;3.615;-2.106;9.415;-0.035;-4.258;8.331;1.356;-0.261;10.019;-0.25;-0.072;10.86;0.673;-4.258;8.331;1.356;-5.852;8.185;3.134;-0.03;4.821;0.01;1.093;4.46;0.215;1.45;9.455;-0.042;2.878;7.506;1.568;0.148;9.895;0.207;1.45;9.455;-0.042;3.357;4.87;3.615;2.596;0.981;1.876
-0.812;9.8;0.053;-2.156;9.425;0.002;0.01;5.506;-0.609;-0.072;8.463;-0.701;-0.072;8.463;-0.701;-0.308;10.017;-0.248;-0.039;4.819;0.005;0.01;5.506;-0.609;-0.039;4.819;0.005;-1.196;4.528;0.097;-3.065;5.206;3.688;-3.157;1.12;2.578;-1.196;4.528;0.097;-3.065;5.206;3.688;2.852;7.516;1.554;1.843;7.762;3.791;1.086;4.467;0.21;3.329;4.875;3.624;-2.156;9.425;0.002;-4.298;8.398;1.45;-0.308;10.017;-0.248;-0.113;10.862;0.67;-4.298;8.398;1.45;-5.92;8.181;3.196;-0.039;4.819;0.005;1.086;4.467;0.21;1.407;9.459;-0.048;2.852;7.516;1.554;0.105;9.895;0.206;1.407;9.459;-0.048;3.329;4.875;3.624;2.595;0.985;1.877
-0.851;9.79;0.057;-2.198;9.423;0.034;-0.001;5.503;-0.611;-0.107;8.459;-0.705;-0.107;8.459;-0.705;-0.351;10.011;-0.248;-0.045;4.815;0.001;-0.001;5.503;-0.611;-0.045;4.815;0.001;-1.199;4.513;0.09;-3.061;5.207;3.683;-3.156;1.12;2.576;-1.199;4.513;0.09;-3.061;5.207;3.683;2.833;7.529;1.543;1.838;7.762;3.787;1.084;4.472;0.206;3.304;4.879;3.635;-2.198;9.423;0.034;-4.319;8.428;1.534;-0.351;10.011;-0.248;-0.152;10.86;0.667;-4.319;8.428;1.534;-5.954;8.146;3.26;-0.045;4.815;0.001;1.084;4.472;0.206;1.369;9.462;-0.055;2.833;7.529;1.543;0.066;9.892;0.203;1.369;9.462;-0.055;3.304;4.879;3.635;2.593;0.988;1.878
-0.896;9.768;0.062;-2.243;9.403;0.074;-0.021;5.487;-0.611;-0.147;8.442;-0.706;-0.147;8.442;-0.706;-0.4;9.993;-0.248;-0.056;4.796;-0.001;-0.021;5.487;-0.611;-0.056;4.796;-0.001;-1.207;4.48;0.087;-3.056;5.202;3.681;-3.154;1.113;2.579;-1.207;4.48;0.087;-3.056;5.202;3.681;2.815;7.541;1.532;1.836;7.763;3.784;1.076;4.466;0.204;3.279;4.881;3.643;-2.243;9.403;0.074;-4.328;8.429;1.637;-0.4;9.993;-0.248;-0.194;10.845;0.661;-4.328;8.429;1.637;-5.954;8.092;3.36;-0.056;4.796;-0.001;1.076;4.466;0.204;1.327;9.456;-0.065;2.815;7.541;1.532;0.022;9.877;0.2;1.327;9.456;-0.065;3.279;4.881;3.643;2.595;0.989;1.878
-0.925;9.758;0.065;-2.272;9.393;0.103;-0.023;5.486;-0.609;-0.17;8.44;-0.707;-0.17;8.44;-0.707;-0.434;9.988;-0.248;-0.054;4.793;-0.002;-0.023;5.486;-0.609;-0.054;4.793;-0.002;-1.203;4.469;0.086;-3.04;5.202;3.683;-3.151;1.115;2.579;-1.203;4.469;0.086;-3.04;5.202;3.683;2.805;7.563;1.523;1.835;7.766;3.781;1.081;4.47;0.202;3.268;4.883;3.651;-2.272;9.393;0.103;-4.331;8.438;1.712;-0.434;9.988;-0.248;-0.224;10.845;0.656;-4.331;8.438;1.712;-5.953;8.061;3.43;-0.054;4.793;-0.002;1.081;4.47;0.202;1.299;9.464;-0.073;2.805;7.563;1.523;-0.008;9.876;0.197;1.299;9.464;-0.073;3.268;4.883;3.651;2.595;0.993;1.879
-0.947;9.753;0.075;-2.294;9.387;0.138;-0.022;5.487;-0.605;-0.188;8.44;-0.704;-0.188;8.44;-0.704;-0.461;9.986;-0.243;-0.048;4.793;0.001;-0.022;5.487;-0.605;-0.048;4.793;0.001;-1.196;4.464;0.089;-3.023;5.202;3.69;-3.148;1.117;2.579;-1.196;4.464;0.089;-3.023;5.202;3.69;2.799;7.583;1.517;1.835;7.769;3.779;1.088;4.474;0.202;3.267;4.883;3.657;-2.294;9.387;0.138;-4.328;8.45;1.787;-0.461;9.986;-0.243;-0.247;10.849;0.655;-4.328;8.45;1.787;-5.946;8.044;3.503;-0.048;4.793;0.001;1.088;4.474;0.202;1.278;9.474;-0.079;2.799;7.583;1.517;-0.03;9.878;0.198;1.278;9.474;-0.079;3.267;4.883;3.657;2.597;0.994;1.88
