right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z
-0.35;9.866;0.029;-1.699;9.515;-0.043;0.073;5.516;-0.608;0.296;8.465;-0.696;0.296;8.465;-0.696;0.179;10.038;-0.259;0.0;4.827;0.0;0.073;5.516;-0.608;0.0;4.827;0.0;-1.169;4.595;0.112;-2.941;5.206;3.764;-2.713;1.022;3.148;-1.169;4.595;0.112;-2.941;5.206;3.764;2.744;7.326;1.915;1.419;7.752;3.95;1.109;4.414;0.18;3.454;4.968;3.504;-1.699;9.515;-0.043;-3.003;7.75;1.666;0.179;10.038;-0.259;0.177;10.797;0.751;-3.003;7.75;1.666;-1.983;7.664;3.829;0.0;4.827;0.0;1.109;4.414;0.18;1.86;9.378;0.06;2.744;7.326;1.915;0.567;9.885;0.208;1.86;9.378;0.06;3.454;4.968;3.504;2.556;0.808;2.721
-0.359;9.858;0.034;-1.701;9.49;-0.085;0.075;5.515;-0.615;0.306;8.465;-0.689;0.306;8.465;-0.689;0.171;10.034;-0.247;0.003;4.825;-0.007;0.075;5.515;-0.615;0.003;4.825;-0.007;-1.166;4.593;0.105;-2.934;5.207;3.759;-2.712;1.022;3.148;-1.166;4.593;0.105;-2.934;5.207;3.759;2.758;7.334;1.919;1.426;7.753;3.951;1.113;4.413;0.171;3.463;4.968;3.491;-1.701;9.49;-0.085;-3.127;7.725;1.523;0.171;10.034;-0.247;0.13;10.788;0.766;-3.127;7.725;1.523;-2.338;7.718;3.782;0.003;4.825;-0.007;1.113;4.413;0.171;1.851;9.385;0.074;2.758;7.334;1.919;0.555;9.882;0.224;1.851;9.385;0.074;3.463;4.968;3.491;2.557;0.807;2.719
-0.371;9.853;0.041;-1.699;9.46;-0.136;0.078;5.518;-0.614;0.315;8.467;-0.677;0.315;8.467;-0.677;0.162;10.035;-0.233;0.007;4.827;-0.008;0.078;5.518;-0.614;0.007;4.827;-0.008;-1.162;4.594;0.106;-2.926;5.208;3.761;-2.712;1.023;3.149;-1.162;4.594;0.106;-2.926;5.208;3.761;2.764;7.336;1.919;1.43;7.752;3.95;1.117;4.415;0.169;3.475;4.966;3.483;-1.699;9.46;-0.136;-3.271;7.722;1.365;0.162;10.035;-0.233;0.091;10.781;0.783;-3.271;7.722;1.365;-2.835;7.836;3.715;0.007;4.827;-0.008;1.117;4.415;0.169;1.839;9.394;0.091;2.764;7.336;1.919;0.54;9.885;0.243;1.839;9.394;0.091;3.475;4.966;3.483;2.557;0.807;2.718
-0.384;9.845;0.057;-1.696;9.424;-0.169;0.085;5.517;-0.612;0.323;8.466;-0.653;0.323;8.466;-0.653;0.151;10.032;-0.209;0.014;4.824;-0.008;0.085;5.517;-0.612;0.014;4.824;-0.008;-1.154;4.589;0.104;-2.915;5.21;3.76;-2.711;1.023;3.15;-1.154;4.589;0.104;-2.915;5.21;3.76;2.765;7.331;1.927;1.427;7.75;3.955;1.124;4.412;0.168;3.484;4.963;3.481;-1.696;9.424;-0.169;-3.418;7.745;1.228;0.151;10.032;-0.209;0.062;10.774;0.809;-3.418;7.745;1.228;-3.443;7.972;3.61;0.014;4.824;-0.008;1.124;4.412;0.168;1.825;9.399;0.117;2.765;7.331;1.927;0.525;9.885;0.271;1.825;9.399;0.117;3.484;4.963;3.481;2.558;0.806;2.719
-0.401;9.847;0.082;-1.7;9.403;-0.172;0.09;5.524;-0.6;0.321;8.474;-0.624;0.321;8.474;-0.624;0.134;10.038;-0.18;0.019;4.828;-0.0;0.09;5.524;-0.6;0.019;4.828;-0.0;-1.149;4.591;0.109;-2.911;5.21;3.765;-2.711;1.025;3.148;-1.149;4.591;0.109;-2.911;5.21;3.765;2.76;7.326;1.928;1.422;7.745;3.956;1.13;4.417;0.176;3.489;4.961;3.491;-1.7;9.403;-0.172;-3.56;7.804;1.14;0.134;10.038;-0.18;0.036;10.777;0.84;-3.56;7.804;1.14;-4.068;8.087;3.462;0.019;4.828;-0.0;1.13;4.417;0.176;1.806;9.41;0.145;2.76;7.326;1.928;0.506;9.894;0.302;1.806;9.41;0.145;3.489;4.961;3.491;2.558;0.807;2.716
-0.428;9.845;0.111;-1.724;9.396;-0.146;0.094;5.526;-0.587;0.305;8.477;-0.594;0.305;8.477;-0.594;0.107;10.04;-0.15;0.024;4.826;0.01;0.094;5.526;-0.587;0.024;4.826;0.01;-1.144;4.585;0.114;-2.911;5.21;3.766;-2.71;1.025;3.151;-1.144;4.585;0.114;-2.911;5.21;3.766;2.755;7.323;1.93;1.418;7.744;3.959;1.135;4.418;0.186;3.484;4.96;3.509;-1.724;9.396;-0.146;-3.715;7.909;1.105;0.107;10.04;-0.15;0.01;10.777;0.871;-3.715;7.909;1.105;-4.651;8.176;3.291;0.024;4.826;0.01;1.135;4.418;0.186;1.779;9.416;0.17;2.755;7.323;1.93;0.478;9.897;0.334;1.779;9.416;0.17;3.484;4.96;3.509;2.558;0.807;2.721
-0.47;9.843;0.145;-1.777;9.415;-0.094;0.089;5.528;-0.576;0.267;8.481;-0.568;0.267;8.481;-0.568;0.063;10.041;-0.118;0.021;4.824;0.016;0.089;5.528;-0.576;0.021;4.824;0.016;-1.145;4.577;0.116;-2.921;5.21;3.763;-2.712;1.024;3.15;-1.145;4.577;0.116;-2.921;5.21;3.763;2.75;7.328;1.926;1.418;7.742;3.959;1.134;4.421;0.193;3.467;4.962;3.527;-1.777;9.415;-0.094;-3.881;8.064;1.127;0.063;10.041;-0.118;-0.027;10.778;0.904;-3.881;8.064;1.127;-5.126;8.253;3.162;0.021;4.824;0.016;1.134;4.421;0.193;1.739;9.425;0.19;2.75;7.328;1.926;0.437;9.899;0.363;1.739;9.425;0.19;3.467;4.962;3.527;2.556;0.81;2.72
-0.517;9.84;0.174;-1.842;9.451;-0.034;0.084;5.529;-0.568;0.222;8.485;-0.55;0.222;8.485;-0.55;0.013;10.042;-0.09;0.018;4.823;0.021;0.084;5.529;-0.568;0.018;4.823;0.021;-1.147;4.567;0.116;-2.938;5.21;3.753;-2.714;1.024;3.15;-1.147;4.567;0.116;-2.938;5.21;3.753;2.745;7.338;1.923;1.416;7.74;3.96;1.133;4.426;0.2;3.442;4.966;3.551;-1.842;9.451;-0.034;-4.033;8.244;1.183;0.013;10.042;-0.09;-0.065;10.779;0.933;-4.033;8.244;1.183;-5.487;8.334;3.082;0.018;4.823;0.021;1.133;4.426;0.2;1.694;9.433;0.208;2.745;7.338;1.923;0.39;9.899;0.389;1.694;9.433;0.208;3.442;4.966;3.551;2.554;0.812;2.723
-0.575;9.837;0.209;-1.917;9.49;0.037;0.072;5.534;-0.562;0.165;8.491;-0.531;0.165;8.491;-0.531;-0.048;10.043;-0.058;0.011;4.823;0.022;0.072;5.534;-0.562;0.011;4.823;0.022;-1.153;4.557;0.111;-2.96;5.209;3.739;-2.716;1.022;3.149;-1.153;4.557;0.111;-2.96;5.209;3.739;2.735;7.352;1.918;1.415;7.74;3.964;1.128;4.434;0.203;3.411;4.972;3.572;-1.917;9.49;0.037;-4.162;8.402;1.269;-0.048;10.043;-0.058;-0.109;10.781;0.966;-4.162;8.402;1.269;-5.759;8.375;3.05;0.011;4.823;0.022;1.128;4.434;0.203;1.64;9.444;0.227;2.735;7.352;1.918;0.334;9.899;0.416;1.64;9.444;0.227;3.411;4.972;3.572;2.552;0.816;2.725
-0.631;9.833;0.241;-1.986;9.522;0.106;0.058;5.54;-0.56;0.11;8.498;-0.516;0.11;8.498;-0.516;-0.108;10.045;-0.03;0.001;4.825;0.019;0.058;5.54;-0.56;0.001;4.825;0.019;-1.16;4.547;0.103;-2.983;5.209;3.721;-2.719;1.02;3.147;-1.16;4.547;0.103;-2.983;5.209;3.721;2.723;7.366;1.908;1.415;7.74;3.964;1.121;4.445;0.202;3.378;4.979;3.589;-1.986;9.522;0.106;-4.254;8.525;1.372;-0.108;10.045;-0.03;-0.147;10.783;0.995;-4.254;8.525;1.372;-5.937;8.396;3.068;0.001;4.825;0.019;1.121;4.445;0.202;1.588;9.455;0.241;2.723;7.366;1.908;0.279;9.899;0.44;1.588;9.455;0.241;3.378;4.979;3.589;2.549;0.821;2.726
